,Unnamed: 0.1,Unnamed: 0,simplified_text,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,first_order_coherence,second_order_coherence,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,section_number,section_title,section_chapter,section_text,score
0,0,0,"The Employment Insurance (EI) program is overseen by the federal government. There is a law called the Employment Insurance Act that allows for rules to be created alongside it with the approval of the Governor in Council. These additional rules are known as the Employment Insurance Regulations, Employment Insurance (Collection of Premiums) Regulations, and National Employment Service Regulations. You can find the most current version of these laws on the Justice Laws Website.",43.44823630136989,11.732979452054796,15.247664890283003,17.163013698630134,13.43869863013699,14.716712328767125,59.3458904109589,7.5,0.7167841593424479,0.8596436977386475,2.4563428469678468,0.1961829074550345,0.4963878713878713,0.0414489939348152,5.465753424657534,5.0,2.9935189892834484,18.25,18.0,5.717298313014636,1.7123287671232876,1.0,0.9577292215314266,73,51,0.6986301369863014,409,4,1.1.0,Authority,Chapter 1 - Basic concepts,"The Employment Insurance (EI) program is under the jurisdiction of the federal government. The  current legislation is known as the Employment Insurance Act (the act). This act allows for the making of regulations to the legislation, with approval of the Governor in Council.\nThe regulatory provisions are referred to as the Employment Insurance Regulations (EI Regulations) (EI Act 5(4)(5)(6); EI Act 24; EI Act 54), Employment Insurance (Collection of Premiums) Regulations (EI Act Part IV; EI Act 152), and National Employment Service Regulations (EI Act 60).\n\nNOTE: The Justice Laws Website provides an official consolidation, and up to date version, of the EI Act and Regulations.",0.9995378
1,1,1,"The Employment Insurance (EI) program is like an insurance policy that helps people who lost their job involuntarily while they search for a new job or improve their skills. It can also assist people all across the country in getting a job. The EI program also gives temporary financial support to workers who are sick, pregnant, taking care of a new baby, taking care of a newly adopted child, or looking after a family member with a serious medical condition.

The EI program has been around for 75 years, starting in 1940, and had a major update in 1996 to focus more on promoting employment and requiring a strong work history to qualify for benefits.",54.87586206896553,12.809655172413796,14.191785591663535,16.77241379310345,14.589827586206894,10.044827586206893,52.27586206896552,6.75,0.862322469552358,0.8761775195598602,3.107602101845523,0.5482163795655108,0.4183719241285031,0.0193754345467423,4.568965517241379,4.0,2.457304866252352,29.0,32.0,9.899494936611664,1.4482758620689655,1.0,0.7695142622214277,116,82,0.7068965517241379,542,4,1.1.1,Summary,Chapter 1 - Basic concepts,"The EI program, which is insurance-based, is designed to protect individuals who have lost their job for reasons outside their control, while they look for new employment or upgrade their skills. It may also help unemployed individuals across the country find employment. The EI program also provides temporary financial assistance to workers who are sick, pregnant, caring for a newborn or newly adopted child, or caring for a family member who has a serious medical condition.\nThe EI program marked its 75th year in 2015, having been implemented in 1940. The last major reform occurred in 1996. At that time, the program introduced changes to better reflect its primary objective of promoting employment, and to better emphasize that access to the program is linked to significant work attachment.",0.9991697
2,2,2,"Employment and Social Development Canada (ESDC) is the department of the Canadian government that creates and manages programs and services. The Minister of Employment and Social Development is in charge of the Employment Insurance (EI) act, excluding certain parts about earnings and premiums.

The Canada Revenue Agency deals with questions about what counts as earnings and collects EI premiums. Service Canada, a part of ESDC, runs the act’s rules, decides who qualifies for benefits, and pays benefits to those receiving EI. It aims to provide accurate and timely benefit information, help with questions, assist employers, process claims, and offer options for challenging decisions.

Provinces and territories deliver most job benefits and services through agreements funded by the federal government. These agreements allow them to create and manage programs to help unemployed individuals who qualify for EI.

The Canada Employment Insurance Commission (CEIC) is within ESDC. It helps run the EI program, makes regulations, and reviews policies related to EI program delivery. The CEIC also sets the EI premium rates and creates the yearly EI Monitoring and Assessment Report.

The Social Security Tribunal of Canada (SST) is an independent group that decides on appeals related to the Act.",49.98798829882992,10.849045904590458,13.747043046817236,14.870207020702072,12.864045904590457,13.938415841584153,54.50225022502251,6.636363636363637,0.7623682498931885,0.7823363012737699,2.704441558759404,0.5173092195834482,0.466995679259657,0.0878373279787316,5.331683168316832,5.0,2.7653954542577748,18.363636363636363,18.0,4.073701182256015,1.6336633663366336,1.0,0.8756640736298901,202,116,0.5742574257425742,1107,11,1.1.2,Roles and responsibilities,Chapter 1 - Basic concepts,"Employment and Social Development Canada (ESDC) is the department of the Government of Canada responsible for developing, managing and delivering programs and services. The Minister of  Employment and Social Development is responsible for the EI act, except for PART IV - Insurable Earnings and Collection of Premiums, and PART VII - Benefit Repayment.\nThe Canada Revenue Agency is responsible for resolving any questions pertaining to the insurability of employment or earnings (Part IV),  and for the collection of EI premiums (Part VII).\nService Canada is a federal institution that is part of ESDC. Service Canada oversees all legislative provisions of the act, including the determination of benefit eligibility and entitlement, and issues EI benefits (Part I) directly to EI claimants. Its role is to provide timely and accurate EI benefit payments and services, and to support EI claimants through each stage of the service delivery process. It strives to accurately and efficiently provide benefit information, respond to enquiries, assist employers, process claims and provide the means to request a formal reconsideration of a decision, or to appeal decisions.\nProvinces and territories deliver the majority of Employment Benefits and National Employment Services (Part II). These benefits and services are delivered through Labour Market Development Agreements (LMDA) funded by the Government of Canada. Through these agreements, Government of Canada funding enables provinces and territories to design, deliver and manage skills and employment programs for unemployed individuals, particularly for those who are eligible for EI benefits.\nThe Canada Employment Insurance Commission (CEIC) is a departmental corporation of  ESDC. It plays a key role in administering the EI program, including the making of regulations, with the approval of the Governor-in-Council, and reviewing, as  well as approving, policies related to the EI program administration and  delivery.  In addition to its role in EI  premium rate setting, the CEIC produces the annual EI Monitoring and Assessment Report.\nThe Social Security Tribunal of Canada (SST) is an independent administrative body composed of a General Division and Appeal Division, that makes decisions on appeals related to the Act.",0.9976476
3,3,3,"If you work for someone else, you have to pay EI premiums. It doesn't matter if you qualify for EI benefits or not, all employees have to pay. To be eligible, you must have an employer, meaning you can't be self-employed. The Canada Revenue Agency decides if a job is eligible for EI and if EI premiums should be paid for that job.",82.20125,5.768750000000001,9.516144504307135,9.525,5.262812499999999,5.686249999999998,36.3125,3.25,0.8696247736612955,0.8401168286800385,2.4951781627983,0.3931931012179165,0.4156178489702516,0.0762196456606716,3.96875,3.0,2.1648379702647493,16.0,15.0,3.741657386773941,1.28125,1.0,0.5986638768958755,64,41,0.640625,269,4,1.1.3,EI premiums & Insurable Employment,Chapter 1 - Basic concepts,"All workers employed in insurable employment are required to pay EI premiums. The fact that a worker can or cannot qualify for EI benefits is not a criterion to determine whether EI premiums are payable, as it is the employment, and not the individual that is insured. \nThe fundamental requirement for an employment to be insurable is that there is an employer-employee relationship; i.e. the person is not self-employed. CRA holds the responsibility for making decisions as to whether an employment is insurable or not, and whether EI premiums are payable with respect to that employment.",0.9995216
4,4,4,"The first part of the Employment Insurance program gives temporary financial support to workers who lose their job through no fault of their own. This help is available while they seek a new job or improve their skills. Part I also offers temporary financial aid to workers who are ill, pregnant, taking care of a new baby, a newly adopted child, or a sick family member. The aim of Part II of the Employment Insurance Act is to provide job help to qualified participants through different programs and services.",64.48046348314608,9.793117977528087,13.02386679866686,14.293258426966291,11.710280898876404,10.353707865168538,49.21629213483146,6.0,0.8143319288889567,0.802378386259079,2.7705681818181818,0.3661328190957597,0.4154924242424242,0.0366231859336934,4.674157303370786,4.0,2.599806738274837,22.25,23.5,5.11737237261468,1.4157303370786516,1.0,0.7159340369471457,89,59,0.6629213483146067,424,4,1.1.4,Purpose of Employment Insurance benefits,Chapter 1 - Basic concepts,"As previously stated, Part I of the EI program provides temporary income support to workers who have lost their job for reasons outside their control, while they look for new employment or upgrade their skills. EI Part I also provides temporary financial assistance to workers who are sick, pregnant, caring for a newborn or newly adopted child, or caring for a family member who has a serious medical condition.\nThe purpose of Part II of the EI Act is to provide employment assistance to eligible insured participants, through various programs and services.",0.9981445
5,5,5,"There are different kinds of EI benefits you can get if you need help. Regular benefits can be for when you lose your job and need to find a new one. Special benefits are for things like when you are sick, have a baby, or need to take care of someone in your family who is very sick. Here are some special benefits you can get: 

- Maternity benefits: for moms who are having a baby, can last up to 15 weeks.
- Parental benefits: for parents taking care of a new baby or adopted child, can be shared between parents for up to 40 weeks.
- Sickness benefits: for when you can't work because you're injured, sick, or need to be isolated for a disease, can last up to 26 weeks.
- Compassionate Care benefits: for when you need to take care of a family member who is very sick and might not survive, can last up to 26 weeks.
- Family Caregiver benefits: for when you need to take care of a family member who is very ill or injured, duration varies depending on whom you are caring for.
  
You can combine different special benefits up to 102 weeks within a 104-week period in some cases. Fishing benefits are for fishermen who work for themselves and need help but don't qualify for regular benefits. There are also benefits for people in special programs to help them find work or get training.",63.18082908163268,12.05497448979592,13.227904075235838,16.331632653061224,13.337683673469384,7.521469387755097,49.400510204081634,5.75,0.8810679657118661,0.8867094616095225,3.168638803535526,0.664167035895953,0.4580865198588825,0.0551952240306999,4.130612244897959,4.0,2.1738899660148068,30.625,18.0,23.113510659352464,1.3306122448979592,1.0,0.6646171466993589,245,100,0.4081632653061224,1051,8,1.1.5,Types of Employment Insurance benefits,Chapter 1 - Basic concepts,"There are a number of types of EI benefits available:\nRegular benefits are available to individuals who lose their jobs for reasons outside their control and who are available for and actively seeking employment.\nSpecial benefits are available to insured workers and self-employed individuals who are too sick to work, are pregnant or have recently given birth, are providing care to a newborn or newly adopted child, or who must be away from work temporarily to provide care or support to a family member with a serious medical condition.  Special benefits include:\n\nMaternity benefits: for biological mothers who are pregnant or have given birth. These benefits cover the period surrounding the child's birth (up to 15 weeks).\nParental benefits: for any legal parent to care for their newborn or newly adopted child or children. One parent can receive these benefits, or they can share benefits between them (up to 40 weeks of standard parental benefits or 69 weeks of extended parental benefits when sharing).  However, one parent cannot receive more than 35 weeks of standard parental benefits or 61 weeks of extended parental benefits.\nSickness benefits: for people who cannot work due to injury, illness, or the need to be isolated in quarantine because they may be carrying a disease (up to 26 weeks).\nCompassionate Care benefits: for people who must be away from work temporarily to provide care or support to a family member who is gravely ill with a significant risk of death within 26 weeks. One family member can receive these benefits, or they can be shared between several family members (up to 26 weeks).\nFamily Caregiver benefits: for family members who must be away from work temporarily to care for or support a critically ill or injured family member. One family member can receive these benefits or they can be shared between several family members (up to 35 weeks for caring for a child; up to 15 weeks for caring for an adult).\n\nIn certain circumstances various types of special benefits may be combined up to a maximum of 102 weeks of benefits within a maximum 104 week benefit period.\nFishing  benefits  are for eligible self-employed fishers who do not meet the eligibility  requirements for EI regular benefits in their region. \nJob creation partnerships, work sharing, training benefits: for clients participating in developmental programs.",0.9538183
6,6,6,"If you need to get benefits from Employment Insurance (EI), you have to start by applying and proving that you qualify for a benefit period. Applying for benefits is the first step you have to take, and it's necessary for the Commission to figure out if you are eligible to get benefits (EI Act 48).

The amount of EI benefits you get doesn't depend on how much money you need or what bills you have to pay. Just because you have been paying premiums into the EI fund doesn't automatically mean you will get benefits. You have the right to apply for benefits like you would with an insurance policy you have. To be eligible for benefits, you need to meet the conditions set out in the law.",68.93343023255817,8.985697674418606,13.02386679866686,14.181395348837208,9.109302325581396,7.528372093023254,39.32945736434108,3.8333333333333335,0.9012198448181152,0.8472128808498383,2.4859833971902936,0.2787778802727981,0.4661079182630906,0.0837513994801586,4.2015503875969,3.0,2.2802823331287114,21.5,20.0,5.251983752196243,1.372093023255814,1.0,0.7373719039128134,129,72,0.5581395348837209,563,6,1.1.6,Requirement to apply for benefits,Chapter 1 - Basic concepts,"An insured person who wishes to receive benefits must first indicate their intention by making a claim and proving they meet the conditions necessary to establish a  benefit period. The filing of an initial claim is the first requirement to be  met and it is an essential requirement by which the Commission can begin the  process of determining whether a claimant is entitled to benefits (EI  Act 48).\nThe payment of EI benefits is not based on the personal needs or financial obligations of an individual. Equally, the fact that one has paid premiums into the EI fund does not by itself provide a right to receive benefits. It is rather the right to apply for benefits that an insured person may exercise, as would be the case with an insurance policy to which one has subscribed. Eligibility and entitlement depend on meeting the various conditions established by the legislation.",0.9966449
7,7,7,"The law allows all employees to use the Employment Insurance (EI) program if they have contributed to it and worked in a job that qualifies. If someone can't work because they are temporarily out of a job, sick, pregnant, taking care of a new baby or adopted child, or helping a sick family member, they could get financial help as long as they meet certain requirements. 

Self-employed people who are registered for EI may also be able to get special benefits. More information about benefits for self-employed individuals can be found in Chapter 24 of this guide.",61.32800000000002,10.916,13.427899808715576,15.2,12.453400000000002,9.711199999999998,49.0,6.0,0.8413398067156473,0.7978246510028839,2.6946831364124595,0.6441403457470811,0.4636143931256713,0.085829506419411,4.54,4.0,2.6959970326393163,25.0,21.0,10.41633332799983,1.42,1.0,0.7896834808959854,100,75,0.75,470,4,1.1.7,Who can receive benefits?,Chapter 1 - Basic concepts,"Under the act, all workers may be able to access the EI program if they are an insured worker; that is they must have paid into the EI account and have worked in insurable employment.\nWorkers unable to work because they are temporarily unemployed, sick, pregnant, caring for a newborn or newly adopted child, or providing support to a seriously  ill family member, may receive temporary financial assistance if they meet specific qualifying and entitlement conditions.\nUnder separate provisions of the act, self-employed workers, (those who work for themselves), may be entitled to EI special benefits if they  are registered for access to the EI program. Detailed information regarding  entitlement to benefits for self-employed workers is available in Chapter 24 of this digest.",0.9988066
8,8,8,"Foreign workers who work in Canada and are covered by employment insurance (EI) must pay EI premiums. This means that their jobs are insured, not themselves. However, if foreign workers are already covered by a similar program in their home country, they do not have to pay EI premiums while working in Canada temporarily.

Foreign workers, like all other workers, can receive regular EI benefits as long as they meet the requirements while in Canada. They may also qualify for maternity, parental, compassionate care, or family caregiver benefits even after they leave Canada, as long as their social insurance number is still valid.

Foreign workers, just like other workers, can receive sickness benefits while in Canada. However, they need to prove that they would be able to work in Canada if they were not sick.

If foreign workers apply to extend their work permit before it expires and are allowed to stay in Canada while waiting for the new permit, they may still be eligible for benefits. Those who become permanent residents can receive regular or special EI benefits as long as they meet all the necessary requirements.",62.15936591041304,9.861535776614314,11.855464076750408,12.886794648051191,11.942001163467133,11.22010471204188,50.01803374054683,6.111111111111111,0.8668968230485916,0.854138697896685,2.858958457120222,0.4124703225903614,0.44717394533571,0.0504326378756146,4.832460732984293,4.0,2.387400109974722,21.22222222222222,21.0,7.253777219533095,1.455497382198953,1.0,0.7140025362146103,191,97,0.5078534031413613,947,9,1.1.7.1,Foreign Workers,Chapter 1 - Basic concepts,"Foreign workers employed in insurable employment are required to pay EI premiums, as it is the employment that is insured and  not the individual. However, foreign workers are exempt from EI premiums when  they remain covered under an EI program in their country while working  temporarily in Canada.\nForeign workers, as with any other worker, can receive regular benefits, provided they meet eligibility and entitlement conditions, while in Canada.\nThey may also be entitled to receive EI maternity, parental, compassionate care or family caregiver benefits after they leave Canada, as long as their social insurance number has not  expired (EI  Regulation 55(4)). These types of benefits can be paid outside of Canada, as there is no requirement to show availability for work.\nForeign workers, as well as any other worker, may also receive sickness benefits, but only while in Canada. In order to receive sickness benefits all individuals must show that,  were it not for their illness, they would be available for work in Canada.\nForeign workers who are allowed to remain in Canada after their work permit expires, and have applied to extend the work permit before it expired, may receive benefits pending receipt  of the new work permit. Those who obtain permanent residency status have full  rights to receive EI regular or special benefits, provided they meet all of the qualifying and entitlement conditions for the type of benefits requested.",0.9991335
9,9,9,"When someone applies for benefits, the Commission will review the claim and related information to decide if the person can receive benefits. The decision on the claim will be shared with the claimant either through a formal letter or by paying out the benefits.

If a claimant disagrees with the decision, they can ask for a reconsideration without going through a full appeal process. After the review, the Commission will either stick with the original decision or make changes and inform the claimant.

If the claimant still doesn't agree with the decision after the reconsideration, they can appeal to the Social Security Tribunal (SST) General Division. If they or the Commission are not happy with the General Division's decision, they can further appeal to the Appeal Division of the SST.",58.886818181818185,10.511212121212122,12.45797560212912,13.64848484848485,12.798863636363636,11.853636363636364,50.03030303030303,6.166666666666667,0.8876320838928222,0.8907203525304794,2.643448372615039,0.1448268989172821,0.4364077280743947,0.052361364211578,4.931818181818182,4.0,2.629071681475438,22.0,22.5,1.5275252316519468,1.4848484848484849,1.0,0.8917538769431613,132,64,0.4848484848484848,669,6,1.1.8,Notification of a decision,Chapter 1 - Basic concepts,"Upon receipt of an initial claim the Commission will review the claim and all related information, and make a decision as to whether the claimant is entitled to receive benefits. The claimant will then be notified of the decision. Notification may be in the form of a formal decision letter, or by way of the payment of benefits.\nClaimants who disagree with a decision have the right to request a reconsideration of that decision (EI Act  112(1)). A formal request for reconsideration provides a claimant with a review of the decision without having to go through a formal appeal process with an independent decision-making body. Following this review, the EI Commission either changes or reaffirms the decision regarding the issue in question and notifies the claimant of that decision.\nClaimants who disagree with the decision made following a request for reconsideration have the right to appeal that decision to the Social Security Tribunal (SST) General Division (EI Act  113).\nIf the claimant or the Commission is dissatisfied with the decision reached by the SST's General Division, they may submit an appeal to the Appeal Division of the SST.",0.9991874
